ts,mean_latency,stdev_latency,latencies,latencies_smoothed,first_order_deriv,second_order_deriv,packet_loss,bw_ratio
9.458474,0.05848810000000000324674176431,-0.00021010000000000324674176431,0.058474,0.05827800,-0.00010800,-0.00005200,0.0,0.33641124035655756
9.558506,0.05848810000000000324674176431,0.00013989999999999675325823569,0.058506,0.05862800,0.00035000,0.00045800,0.0,0.3359814763064394
0.445654,0.04578101250000000254135670840,-0.00004376250000000254135670840,0.045654,0.04573725,0.00008325,0.00016000,0.0,0.47230484314495763
0.545987,0.04578101250000000254135670840,0.00005273749999999745864329160,0.045987,0.04583375,0.00009650,0.00001325,0.0,0.46366591372376176
0.646040,0.04578101250000000254135670840,0.00005273749999999745864329160,0.046040,0.04583375,0E-8,-0.00009650,0.0,0.4623159745110964
0.745654,0.04578101250000000254135670840,0.00005273749999999745864329160,0.045654,0.04583375,0E-8,0E-8,0.0,0.47230484314495763
0.845654,0.04578101250000000254135670840,-0.00003051250000000254135670840,0.045654,0.04575050,-0.00008325,-0.00008325,0.0,0.47230484314495763
0.945654,0.04578101250000000254135670840,-0.00001701250000000254135670840,0.045654,0.04576400,0.00001350,0.00009675,0.0,0.47230484314495763
1.046094,0.04578101250000000254135670840,0.00008498749999999745864329160,0.046094,0.04586600,0.00010200,0.00008850,0.0,0.46092338025083524
1.146062,0.04577717500000000254114368436,0.00008882499999999745885631564,0.046062,0.04586600,0E-8,-0.00010200,0.0,0.4617325945026609
1.245654,0.04577987500000000254129356447,0.00013337499999999745870643553,0.045654,0.04591325,0.00004725,0.00004725,0.0,0.47230484314495763
1.345843,0.04578257500000000254144344458,0.00002067499999999745855655542,0.045843,0.04580325,-0.00011000,-0.00015725,0.0,0.46734784540204355
1.445654,0.04578911250000000254180634873,-0.00003586250000000254180634873,0.045654,0.04575325,-0.00005000,0.00006000,0.0,0.47230484314495763
1.545862,0.04579148750000000254193818772,-0.00003823750000000254193818772,0.045862,0.04575325,0E-8,0.00005000,0.0,0.46688117164096304
1.645654,0.04578837500000000254176540927,0.00000412499999999745823459073,0.045654,0.04579250,0.00003925,0.00003925,0.0,0.47230484314495763
1.746000,0.04578526250000000254159263080,0.00000723749999999745840736920,0.046000,0.04579250,0E-8,-0.00003925,0.0,0.463308560418387
1.845654,0.04579546250000000254215884455,-0.00005496250000000254215884455,0.045654,0.04574050,-0.00005200,-0.00005200,0.0,0.47230484314495763
1.945654,0.04580982500000000254295612346,-0.00006932500000000254295612346,0.045654,0.04574050,0E-8,0.00005200,0.0,0.47230484314495763
2.045654,0.04581763750000000254338980434,-0.00016363750000000254338980434,0.045654,0.04565400,-0.00008650,-0.00008650,0.0,0.47230484314495763
2.145654,0.04582563750000000254383389355,-0.00004088750000000254383389355,0.045654,0.04578475,0.00013075,0.00021725,0.0,0.47230484314495763
2.246177,0.04582903750000000254402263146,-0.00004428750000000254402263146,0.046177,0.04578475,0E-8,-0.00013075,0.0,0.4588376403881801
2.345654,0.04583237500000000254420789994,-0.00004762500000000254420789994,0.045654,0.04578475,0E-8,0E-8,0.0,0.47230484314495763
2.445654,0.04584121250000000254469847974,-0.00005646250000000254469847974,0.045654,0.04578475,0E-8,0E-8,0.0,0.47230484314495763
2.545654,0.04584726250000000254503432220,-0.00007576250000000254503432220,0.045654,0.04577150,-0.00001325,-0.00001325,0.0,0.47230484314495763
2.646124,0.04584678750000000254500795440,-0.00007528750000000254500795440,0.046124,0.04577150,0E-8,0.00001325,0.0,0.4601673136858221
2.745654,0.04584205000000000254474497032,0.00019569999999999745525502968,0.045654,0.04603775,0.00026625,0.00026625,0.0,0.47230484314495763
2.846719,0.04583731250000000254448198624,0.00020043749999999745551801376,0.046719,0.04603775,0E-8,-0.00026625,0.0,0.4456682906163948
2.945654,0.04583517500000000254436333115,0.00008507499999999745563666885,0.045654,0.04592025,-0.00011750,-0.00011750,0.0,0.47230484314495763
3.045654,0.04583085000000000254412324542,0.00019514999999999745587675458,0.045654,0.04602600,0.00010575,0.00022325,0.0,0.47230484314495763
3.146077,0.04583085000000000254412324543,0.00010314999999999745587675457,0.046077,0.04593400,-0.00009200,-0.00019775,0.0,0.4613529218287468
3.246351,0.04582723750000000254392271139,0.00015276249999999745607728861,0.046351,0.04598000,0.00004600,0.00013800,0.0,0.4545258155109095
3.345838,0.04582362500000000254372217735,0.00015637499999999745627782265,0.045838,0.04598000,0E-8,-0.00004600,0.0,0.46747764261511965
3.445654,0.04582001250000000254352164331,0.00005423749999999745647835669,0.045654,0.04587425,-0.00010575,-0.00010575,0.0,0.47230484314495763
3.545654,0.04581640000000000254332110927,-0.00007265000000000254332110927,0.045654,0.04574375,-0.00013050,-0.00002475,0.0,0.47230484314495763
3.645829,0.04581052500000000254299498126,-0.00011277500000000254299498126,0.045829,0.04569775,-0.00004600,0.00008450,0.0,0.46771145937534736
3.745654,0.04580848750000000254288187730,-0.00011073750000000254288187730,0.045654,0.04569775,0E-8,0.00004600,0.0,0.47230484314495763
3.845654,0.04579375000000000254206378171,-0.00009600000000000254206378171,0.045654,0.04569775,0E-8,0E-8,0.0,0.47230484314495763
3.945654,0.04577972500000000254128523781,-0.00012572500000000254128523781,0.045654,0.04565400,-0.00004375,-0.00004375,0.0,0.47230484314495763
4.045654,0.04577157500000000254083282192,-0.00011757500000000254083282192,0.045654,0.04565400,0E-8,0.00004375,0.0,0.47230484314495763
4.145654,0.04575430000000000253987386678,-0.00004180000000000253987386678,0.045654,0.04571250,0.00005850,0.00005850,0.0,0.47230484314495763
4.245888,0.04574438750000000253932361250,-0.00003188750000000253932361250,0.045888,0.04571250,0E-8,-0.00005850,0.0,0.46618290588821804
4.345654,0.04573146250000000253860613087,-0.00001896250000000253860613087,0.045654,0.04571250,0E-8,0E-8,0.0,0.47230484314495763
4.445654,0.04571853750000000253788864923,-0.00000603750000000253788864923,0.045654,0.04571250,0E-8,0E-8,0.0,0.47230484314495763
4.545654,0.04571090000000000253746468281,-0.00005690000000000253746468281,0.045654,0.04565400,-0.00005850,-0.00005850,0.0,0.47230484314495763
4.645654,0.04570641250000000253721557652,0.00002433749999999746278442348,0.045654,0.04573075,0.00007675,0.00013525,0.0,0.47230484314495763
4.745961,0.04570422500000000253709414588,0.00003877499999999746290585412,0.045961,0.04574300,0.00001225,-0.00006450,0.0,0.4643054176321307
4.845703,0.04570203750000000253697271525,0.00005521249999999746302728475,0.045703,0.04575725,0.00001425,0.00000200,0.0,0.4710096261473025
4.945711,0.04569985000000000253685128461,0.00005739999999999746314871539,0.045711,0.04575725,0E-8,-0.00001425,0.0,0.47079883642873127
5.045654,0.04570355000000000253705667588,-0.00002305000000000253705667588,0.045654,0.04568050,-0.00007675,-0.00007675,0.0,0.47230484314495763
5.145654,0.04570725000000000253726206714,0.00002849999999999746273793286,0.045654,0.04573575,0.00005525,0.00013200,0.0,0.47230484314495763
5.245924,0.04570802500000000253730508828,0.00001347499999999746269491172,0.045924,0.04572150,-0.00001425,-0.00006950,0.0,0.4652551274255072
5.345654,0.04570967500000000253739668167,0.00001182499999999746260331833,0.045654,0.04572150,0E-8,0.00001425,0.0,0.47230484314495763
5.445654,0.04571045000000000253743970282,0.00001104999999999746256029718,0.045654,0.04572150,0E-8,0E-8,0.0,0.47230484314495763
5.545654,0.04571122500000000253748272396,-0.00005722500000000253748272396,0.045654,0.04565400,-0.00006750,-0.00006750,0.0,0.47230484314495763
5.645654,0.04571493750000000253768880912,-0.00006093750000000253768880912,0.045654,0.04565400,0E-8,0.00006750,0.0,0.47230484314495763
5.745654,0.04571393750000000253763329795,-0.00005993750000000253763329795,0.045654,0.04565400,0E-8,0E-8,0.0,0.47230484314495763
5.845654,0.04571030000000000253743137616,-0.00005630000000000253743137616,0.045654,0.04565400,0E-8,0E-8,0.0,0.47230484314495763
5.945654,0.04571505000000000253769505412,0.00001294999999999746230494588,0.045654,0.04572800,0.00007400,0.00007400,0.0,0.47230484314495763
6.045950,0.04571978750000000253795803819,0.00000821249999999746204196181,0.045950,0.04572800,0E-8,-0.00007400,0.0,0.46458735854264427
6.145654,0.04572836250000000253843404632,-3.6250000000253843404632E-7,0.045654,0.04572800,0E-8,0E-8,0.0,0.47230484314495763
6.245654,0.04573337500000000253871229595,0.00001212499999999746128770405,0.045654,0.04574550,0.00001750,0.00001750,0.0,0.47230484314495763
6.345724,0.04573000000000000253852494581,-0.00000200000000000253852494581,0.045724,0.04572800,-0.00001750,-0.00003500,0.0,0.4704567052378557
6.445880,0.04572662500000000253833759569,0.00000137499999999746166240431,0.045880,0.04572800,0E-8,0.00001750,0.0,0.46638958160155175
6.545654,0.04572326250000000253815093944,0.00000498749999999746184906056,0.045654,0.04572825,2.5E-7,2.5E-7,0.0,0.47230484314495763
6.645655,0.04573337500000000253871229595,-0.00002262500000000253871229595,0.045655,0.04571075,-0.00001750,-0.00001775,0.0,0.4722783389450056
6.745654,0.04574348750000000253927365246,-0.00007323750000000253927365246,0.045654,0.04567025,-0.00004050,-0.00002300,0.0,0.47230484314495763
6.845718,0.04575360000000000253983500897,0.00009864999999999746016499103,0.045718,0.04585225,0.00018200,0.00022250,0.0,0.47061455013140974
6.946382,0.04576370000000000254039567159,0.00008829999999999745960432841,0.046382,0.04585200,-2.5E-7,-0.00018225,0.0,0.4537661077263169
7.045654,0.04576000000000000254019028035,0.00009199999999999745980971965,0.045654,0.04585200,0E-8,2.5E-7,0.0,0.47230484314495763
7.145654,0.04575630000000000253998488909,0.00007969999999999746001511091,0.045654,0.04583600,-0.00001600,-0.00001600,0.0,0.47230484314495763
7.245654,0.04575502500000000253991411237,-0.00010102500000000253991411237,0.045654,0.04565400,-0.00018200,-0.00016600,0.0,0.47230484314495763
7.345654,0.04575287500000000253979476339,-0.00009887500000000253979476339,0.045654,0.04565400,0E-8,0.00018200,0.0,0.47230484314495763
7.445654,0.04575160000000000253972398669,-0.00009735000000000253972398669,0.045654,0.04565425,2.5E-7,2.5E-7,0.0,0.47230484314495763
7.545655,0.04575032500000000253965320997,0.00010592499999999746034679003,0.045655,0.04585625,0.00020200,0.00020175,0.0,0.4722783389450056
7.646462,0.04574661250000000253944712483,0.00010963749999999746055287517,0.046462,0.04585625,0E-8,-0.00020200,0.0,0.45181725452300425
7.745654,0.04574377500000000253928961195,0.00011247499999999746071038805,0.045654,0.04585625,0E-8,0E-8,0.0,0.47230484314495763
7.845654,0.04574666250000000253944990038,0.00010933749999999746055009962,0.045654,0.04585600,-2.5E-7,-2.5E-7,0.0,0.47230484314495763
7.945654,0.04574828750000000253954010600,-0.00009428750000000253954010600,0.045654,0.04565400,-0.00020200,-0.00020175,0.0,0.47230484314495763
8.045654,0.04574992500000000253963100550,-0.00009592500000000253963100550,0.045654,0.04565400,0E-8,0.00020200,0.0,0.47230484314495763
8.145654,0.04575156250000000253972190502,-0.00004906250000000253972190502,0.045654,0.04570250,0.00004850,0.00004850,0.0,0.47230484314495763
